"Status","Name","Duration in ms","Description"
"passed","ru.yandex.praktikum.sprint7.tests.CourierLoginTest.loginCourierSuccessfully","869","Проверяем, что курьер может войти с правильными данными"
"passed","ru.yandex.praktikum.sprint7.tests.CourierCreateTest.cannotCreateCourierWithoutLogin","2502","Проверяем, что создание курьера без логина возвращает ошибку 400"
"passed","ru.yandex.praktikum.sprint7.tests.CreateOrderTest.createOrderWithColors[Цвета заказа: [Ljava.lang.String;@39e53bef]","625","Создание заказа с цветами"
"passed","ru.yandex.praktikum.sprint7.tests.CreateOrderTest.createOrderWithColors[Цвета заказа: [Ljava.lang.String;@5c313224]","571","Создание заказа с цветами"
"passed","ru.yandex.praktikum.sprint7.tests.OrdersListTest.getOrdersListSuccessfully","7449","Получение списка всех заказов"
"passed","ru.yandex.praktikum.sprint7.tests.CourierCreateTest.cannotCreateDuplicateCourier","1329","Проверяем, что создание курьера с уже существующим логином возвращает ошибку 409"
"passed","ru.yandex.praktikum.sprint7.tests.CourierCreateTest.createCourierSuccessfully","841","Создаем нового курьера и проверяем, что он может войти"
"passed","ru.yandex.praktikum.sprint7.tests.CreateOrderTest.createOrderWithColors[Цвета заказа: null]","575","Создание заказа с цветами"
"passed","ru.yandex.praktikum.sprint7.tests.CourierLoginTest.cannotLoginWithWrongLogin","1155","Проверяем, что вход с неверным логином возвращает ошибку 404"
"passed","ru.yandex.praktikum.sprint7.tests.CourierLoginTest.cannotLoginWithWrongPassword","1112","Проверяем, что вход с неверным паролем возвращает ошибку 404"
"passed","ru.yandex.praktikum.sprint7.tests.CreateOrderTest.createOrderWithColors[Цвета заказа: [Ljava.lang.String;@1e1e837d]","572","Создание заказа с цветами"
